TimesheetTaskID,TimesheetID,CustomerID,CustomerName,JobsiteID,Jobsite_Code,Jobsite,Address,EmployeeID,ExternalID,Employee,StartDate,StartTime,EndDate,EndTime,TaskName,CostCode,Foreman,Man Hours,Billable Rate,Total Price,Invoiced,InvoiceID,InvoiceItemID,Invoice_Num,Invoice Date,Invoice Qty,Invoice Rate,Invoice Price
119292277,25732520,1309848,*Maintenance Sample,5525263,5525263W,TEST003,", Bozeman, Montana",293846,,Renner Skidmore,4602725%,6:00 AM,2026-01-05,7:00 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119292232,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",293846,,Renner Skidmore,4602729%,7:00 AM,2026-01-05,8:00 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119292079,25732520,1309848,*Maintenance Sample,5525262,5525262W,TEST002,", Bozeman, Montana",293846,,Renner Skidmore,4602733%,8:00 AM,2026-01-05,11:40 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,3.666666667,$75.00,$275.00,N,,,,,0,$0.00,$0.00
119292013,25732520,1309848,*Maintenance Sample,5440055,5440055W,TEST001,", Bozeman, Montana",293846,,Renner Skidmore,4602749%,11:49 AM,2026-01-05,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,5.183333333,$75.00,$388.75,N,,,,,0,$0.00,$0.00
119292189,25732520,1309848,*Maintenance Sample,5440055,5440055W,TEST001,", Bozeman, Montana",293846,,Renner Skidmore,4602771%,5:00 PM,2026-01-05,6:00 PM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119292554,25732520,1309848,*Maintenance Sample,5525263,5525263W,TEST003,", Bozeman, Montana",293846,,Renner Skidmore,4602779%,7:00 PM,2026-01-05,9:01 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,2.016666667,$75.00,$151.25,N,,,,,0,$0.00,$0.00
119292554,25732520,1309848,*Maintenance Sample,5525263,5525263W,TEST003,", Bozeman, Montana",120651,569,Cassie Andrews,4602779%,7:00 PM,2026-01-05,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,2,$75.00,$150.00,N,,,,,0,$0.00,$0.00
119293007,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",120651,569,Cassie Andrews,4602792%,10:01 PM,2026-01-05,11:00 PM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,0.9833333333,$75.00,$73.75,N,,,,,0,$0.00,$0.00
119293007,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",293846,,Renner Skidmore,4602792%,10:01 PM,2026-01-05,11:00 PM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,0.9833333333,$75.00,$73.75,N,,,,,0,$0.00,$0.00
119293075,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",120651,569,Cassie Andrews,4602796%,11:05 PM,2026-01-06,12:09 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,1.066666667,$75.00,$80.00,N,,,,,0,$0.00,$0.00
